"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4741","gene:UTI89_C4741",10533.0427193985,-1.40293595984745,0.273939205969903,-5.12134053568656,3.03371223665783e-07,8.1702660605148e-05
"gene:UTI89_C0590","gene:UTI89_C0590",403.472483970849,2.15607044507645,0.487440381342106,4.42324954518537,9.72273292140781e-06,0.00110558276352986
"gene:UTI89_C4618","gene:UTI89_C4618",921.922431677013,-0.887318638987335,0.271561142425686,-3.26747277265617,0.00108512303538858,0.0433794888444012
"gene:UTI89_C1847","gene:UTI89_C1847",4258.49044967631,-1.21281164133978,0.382748037231415,-3.16869460680343,0.00153125198519661,0.0549097993182004
"gene:UTI89_C2234","gene:UTI89_C2234",8062.9176576269,1.80759114272243,0.478789828080462,3.77533321868873,0.000159793910421435,0.00961959340737039
"gene:UTI89_C3911","gene:UTI89_C3911",234.629164226033,2.35902750455853,0.479267732799354,4.92214965272061,8.55987146851049e-07,0.000175203449217473
"gene:UTI89_C3035","gene:UTI89_C3035",344.784300274932,2.00278062566376,0.468902071903272,4.27121300090332,1.94412608479632e-05,0.00187699871243449
"gene:UTI89_C1451","gene:UTI89_C1451",235.011817912871,1.55419115428527,0.469900481390014,3.3074900236063,0.000941360648055846,0.040821546068659
"gene:UTI89_C2336","gene:UTI89_C2336",32.8568021433751,-1.06984096563723,0.337547558145674,-3.16945254030107,0.00152726398119977,0.0549097993182004
"gene:UTI89_C2188","gene:UTI89_C2188",157.346088042646,1.12108079960582,0.313141382010497,3.58011065930671,0.000343448729906372,0.0179329301115399
"gene:UTI89_C1206","gene:UTI89_C1206",440.811874968488,1.41155654773496,0.470315878817076,3.00129468578705,0.00268834262147567,0.0858327612703263
"gene:UTI89_C2194","gene:UTI89_C2194",989.048595838244,0.745522446976278,0.222727786535643,3.34723591776446,0.000816217148192846,0.036587951880124
"gene:UTI89_C4033","gene:UTI89_C4033",1779.20758232436,2.38869135455951,0.512974189448319,4.6565527149201,3.21547976278222e-06,0.000483929704298725
"gene:UTI89_C0168","gene:UTI89_C0168",390.132230977392,2.36481611387743,0.467659143657232,5.05670881442385,4.26553771383439e-07,9.48989412247415e-05
"gene:UTI89_C4026","gene:UTI89_C4026",565.352803785702,2.04228695953263,0.436089961477039,4.68317810530514,2.82460878121264e-06,0.000463303013555584
"gene:UTI89_C0591","gene:UTI89_C0591",96.1189836283234,1.80786319419155,0.479887641279194,3.7672634981232,0.000165046772075347,0.00978132650996156
"gene:UTI89_C0495","gene:UTI89_C0495",420.965239532975,1.27693442909679,0.383468260338833,3.32996120192187,0.000868580859966631,0.0383148987969763
"gene:UTI89_C0172","gene:UTI89_C0172",1324.18286115298,-0.964374881994116,0.210341100664924,-4.58481427997458,4.54390142239506e-06,0.000664318387954157
